T_intended,T_REC,94,131,171,193,211,304,335,Magnetogram
2010-09-05T20:00:00Z,2010-09-05T20:00:02Z,2010-09-05T200002Z/aia.lev1_euv_12s.2010-09-05T200004Z.94.image_lev1.fits,2010-09-05T200002Z/aia.lev1_euv_12s.2010-09-05T200011Z.131.image_lev1.fits,2010-09-05T200002Z/aia.lev1_euv_12s.2010-09-05T200013Z.171.image_lev1.fits,2010-09-05T200002Z/aia.lev1_euv_12s.2010-09-05T200008Z.193.image_lev1.fits,2010-09-05T200002Z/aia.lev1_euv_12s.2010-09-05T200002Z.211.image_lev1.fits,2010-09-05T200002Z/aia.lev1_euv_12s.2010-09-05T200010Z.304.image_lev1.fits,2010-09-05T200002Z/aia.lev1_euv_12s.2010-09-05T200005Z.335.image_lev1.fits,2010-09-05T200002Z/hmi.m_720s.20100905_200000_TAI.1.magnetogram.fits
2010-09-05T22:00:00Z,2010-09-05T22:00:02Z,2010-09-05T220002Z/aia.lev1_euv_12s.2010-09-05T220004Z.94.image_lev1.fits,2010-09-05T220002Z/aia.lev1_euv_12s.2010-09-05T220011Z.131.image_lev1.fits,2010-09-05T220002Z/aia.lev1_euv_12s.2010-09-05T220013Z.171.image_lev1.fits,2010-09-05T220002Z/aia.lev1_euv_12s.2010-09-05T220008Z.193.image_lev1.fits,2010-09-05T220002Z/aia.lev1_euv_12s.2010-09-05T220002Z.211.image_lev1.fits,2010-09-05T220002Z/aia.lev1_euv_12s.2010-09-05T220010Z.304.image_lev1.fits,2010-09-05T220002Z/aia.lev1_euv_12s.2010-09-05T220005Z.335.image_lev1.fits,2010-09-05T220002Z/hmi.m_720s.20100905_220000_TAI.1.magnetogram.fits
2010-09-05T23:00:00Z,2010-09-05T23:00:02Z,2010-09-05T230002Z/aia.lev1_euv_12s.2010-09-05T230004Z.94.image_lev1.fits,2010-09-05T230002Z/aia.lev1_euv_12s.2010-09-05T230011Z.131.image_lev1.fits,2010-09-05T230002Z/aia.lev1_euv_12s.2010-09-05T230013Z.171.image_lev1.fits,2010-09-05T230002Z/aia.lev1_euv_12s.2010-09-05T230008Z.193.image_lev1.fits,2010-09-05T230002Z/aia.lev1_euv_12s.2010-09-05T230002Z.211.image_lev1.fits,2010-09-05T230002Z/aia.lev1_euv_12s.2010-09-05T230010Z.304.image_lev1.fits,2010-09-05T230002Z/aia.lev1_euv_12s.2010-09-05T230005Z.335.image_lev1.fits,2010-09-05T230002Z/hmi.m_720s.20100905_230000_TAI.1.magnetogram.fits
2010-09-06T00:00:00Z,2010-09-06T00:00:02Z,2010-09-06T000002Z/aia.lev1_euv_12s.2010-09-06T000004Z.94.image_lev1.fits,2010-09-06T000002Z/aia.lev1_euv_12s.2010-09-06T000011Z.131.image_lev1.fits,2010-09-06T000002Z/aia.lev1_euv_12s.2010-09-06T000013Z.171.image_lev1.fits,2010-09-06T000002Z/aia.lev1_euv_12s.2010-09-06T000008Z.193.image_lev1.fits,2010-09-06T000002Z/aia.lev1_euv_12s.2010-09-06T000002Z.211.image_lev1.fits,2010-09-06T000002Z/aia.lev1_euv_12s.2010-09-06T000010Z.304.image_lev1.fits,2010-09-06T000002Z/aia.lev1_euv_12s.2010-09-06T000005Z.335.image_lev1.fits,2010-09-06T000002Z/hmi.m_720s.20100906_000000_TAI.1.magnetogram.fits
2010-09-06T01:00:00Z,2010-09-06T01:00:02Z,2010-09-06T010002Z/aia.lev1_euv_12s.2010-09-06T010004Z.94.image_lev1.fits,2010-09-06T010002Z/aia.lev1_euv_12s.2010-09-06T010011Z.131.image_lev1.fits,2010-09-06T010002Z/aia.lev1_euv_12s.2010-09-06T010013Z.171.image_lev1.fits,2010-09-06T010002Z/aia.lev1_euv_12s.2010-09-06T010008Z.193.image_lev1.fits,2010-09-06T010002Z/aia.lev1_euv_12s.2010-09-06T010002Z.211.image_lev1.fits,2010-09-06T010002Z/aia.lev1_euv_12s.2010-09-06T010010Z.304.image_lev1.fits,2010-09-06T010002Z/aia.lev1_euv_12s.2010-09-06T010005Z.335.image_lev1.fits,2010-09-06T010002Z/hmi.m_720s.20100906_010000_TAI.1.magnetogram.fits
2010-09-06T02:00:00Z,2010-09-06T02:00:02Z,2010-09-06T020002Z/aia.lev1_euv_12s.2010-09-06T020004Z.94.image_lev1.fits,2010-09-06T020002Z/aia.lev1_euv_12s.2010-09-06T020011Z.131.image_lev1.fits,2010-09-06T020002Z/aia.lev1_euv_12s.2010-09-06T020013Z.171.image_lev1.fits,2010-09-06T020002Z/aia.lev1_euv_12s.2010-09-06T020008Z.193.image_lev1.fits,2010-09-06T020002Z/aia.lev1_euv_12s.2010-09-06T020002Z.211.image_lev1.fits,2010-09-06T020002Z/aia.lev1_euv_12s.2010-09-06T020010Z.304.image_lev1.fits,2010-09-06T020002Z/aia.lev1_euv_12s.2010-09-06T020005Z.335.image_lev1.fits,2010-09-06T020002Z/hmi.m_720s.20100906_020000_TAI.1.magnetogram.fits
2010-09-06T03:00:00Z,2010-09-06T03:00:02Z,2010-09-06T030002Z/aia.lev1_euv_12s.2010-09-06T030004Z.94.image_lev1.fits,2010-09-06T030002Z/aia.lev1_euv_12s.2010-09-06T030011Z.131.image_lev1.fits,2010-09-06T030002Z/aia.lev1_euv_12s.2010-09-06T030013Z.171.image_lev1.fits,2010-09-06T030002Z/aia.lev1_euv_12s.2010-09-06T030008Z.193.image_lev1.fits,2010-09-06T030002Z/aia.lev1_euv_12s.2010-09-06T030002Z.211.image_lev1.fits,2010-09-06T030002Z/aia.lev1_euv_12s.2010-09-06T030010Z.304.image_lev1.fits,2010-09-06T030002Z/aia.lev1_euv_12s.2010-09-06T030005Z.335.image_lev1.fits,2010-09-06T030002Z/hmi.m_720s.20100906_030000_TAI.1.magnetogram.fits
2010-09-06T04:00:00Z,2010-09-06T04:00:02Z,2010-09-06T040002Z/aia.lev1_euv_12s.2010-09-06T040004Z.94.image_lev1.fits,2010-09-06T040002Z/aia.lev1_euv_12s.2010-09-06T040011Z.131.image_lev1.fits,2010-09-06T040002Z/aia.lev1_euv_12s.2010-09-06T040013Z.171.image_lev1.fits,2010-09-06T040002Z/aia.lev1_euv_12s.2010-09-06T040008Z.193.image_lev1.fits,2010-09-06T040002Z/aia.lev1_euv_12s.2010-09-06T040002Z.211.image_lev1.fits,2010-09-06T040002Z/aia.lev1_euv_12s.2010-09-06T040010Z.304.image_lev1.fits,2010-09-06T040002Z/aia.lev1_euv_12s.2010-09-06T040005Z.335.image_lev1.fits,2010-09-06T040002Z/hmi.m_720s.20100906_040000_TAI.1.magnetogram.fits
2010-09-06T05:00:00Z,2010-09-06T05:00:02Z,2010-09-06T050002Z/aia.lev1_euv_12s.2010-09-06T050004Z.94.image_lev1.fits,2010-09-06T050002Z/aia.lev1_euv_12s.2010-09-06T050011Z.131.image_lev1.fits,2010-09-06T050002Z/aia.lev1_euv_12s.2010-09-06T050013Z.171.image_lev1.fits,2010-09-06T050002Z/aia.lev1_euv_12s.2010-09-06T050008Z.193.image_lev1.fits,2010-09-06T050002Z/aia.lev1_euv_12s.2010-09-06T050002Z.211.image_lev1.fits,2010-09-06T050002Z/aia.lev1_euv_12s.2010-09-06T050010Z.304.image_lev1.fits,2010-09-06T050002Z/aia.lev1_euv_12s.2010-09-06T050005Z.335.image_lev1.fits,2010-09-06T050002Z/hmi.m_720s.20100906_050000_TAI.1.magnetogram.fits
2010-09-06T06:00:00Z,2010-09-06T06:00:02Z,2010-09-06T060002Z/aia.lev1_euv_12s.2010-09-06T060004Z.94.image_lev1.fits,2010-09-06T060002Z/aia.lev1_euv_12s.2010-09-06T060011Z.131.image_lev1.fits,2010-09-06T060002Z/aia.lev1_euv_12s.2010-09-06T060013Z.171.image_lev1.fits,2010-09-06T060002Z/aia.lev1_euv_12s.2010-09-06T060008Z.193.image_lev1.fits,2010-09-06T060002Z/aia.lev1_euv_12s.2010-09-06T060002Z.211.image_lev1.fits,2010-09-06T060002Z/aia.lev1_euv_12s.2010-09-06T060010Z.304.image_lev1.fits,2010-09-06T060002Z/aia.lev1_euv_12s.2010-09-06T060005Z.335.image_lev1.fits,2010-09-06T060002Z/hmi.m_720s.20100906_060000_TAI.1.magnetogram.fits
