T_intended,T_REC,94,131,171,193,211,304,335,Magnetogram
2010-07-13T09:00:00Z,2010-07-13T09:00:02Z,2010-07-13T090002Z/aia.lev1_euv_12s.2010-07-13T090010Z.94.image_lev1.fits,2010-07-13T090002Z/aia.lev1_euv_12s.2010-07-13T090011Z.131.image_lev1.fits,2010-07-13T090002Z/aia.lev1_euv_12s.2010-07-13T090013Z.171.image_lev1.fits,2010-07-13T090002Z/aia.lev1_euv_12s.2010-07-13T090008Z.193.image_lev1.fits,2010-07-13T090002Z/aia.lev1_euv_12s.2010-07-13T090002Z.211.image_lev1.fits,2010-07-13T090002Z/aia.lev1_euv_12s.2010-07-13T090004Z.304.image_lev1.fits,2010-07-13T090002Z/aia.lev1_euv_12s.2010-07-13T090005Z.335.image_lev1.fits,2010-07-13T090002Z/hmi.m_720s.20100713_090000_TAI.1.magnetogram.fits
2010-07-13T10:00:00Z,2010-07-13T10:00:02Z,2010-07-13T100002Z/aia.lev1_euv_12s.2010-07-13T100010Z.94.image_lev1.fits,2010-07-13T100002Z/aia.lev1_euv_12s.2010-07-13T100011Z.131.image_lev1.fits,2010-07-13T100002Z/aia.lev1_euv_12s.2010-07-13T100013Z.171.image_lev1.fits,2010-07-13T100002Z/aia.lev1_euv_12s.2010-07-13T100008Z.193.image_lev1.fits,2010-07-13T100002Z/aia.lev1_euv_12s.2010-07-13T100002Z.211.image_lev1.fits,2010-07-13T100002Z/aia.lev1_euv_12s.2010-07-13T100004Z.304.image_lev1.fits,2010-07-13T100002Z/aia.lev1_euv_12s.2010-07-13T100005Z.335.image_lev1.fits,2010-07-13T100002Z/hmi.m_720s.20100713_100000_TAI.1.magnetogram.fits
2010-07-13T11:00:00Z,2010-07-13T11:00:02Z,2010-07-13T110002Z/aia.lev1_euv_12s.2010-07-13T110010Z.94.image_lev1.fits,2010-07-13T110002Z/aia.lev1_euv_12s.2010-07-13T110011Z.131.image_lev1.fits,2010-07-13T110002Z/aia.lev1_euv_12s.2010-07-13T110013Z.171.image_lev1.fits,2010-07-13T110002Z/aia.lev1_euv_12s.2010-07-13T110008Z.193.image_lev1.fits,2010-07-13T110002Z/aia.lev1_euv_12s.2010-07-13T110002Z.211.image_lev1.fits,2010-07-13T110002Z/aia.lev1_euv_12s.2010-07-13T110004Z.304.image_lev1.fits,2010-07-13T110002Z/aia.lev1_euv_12s.2010-07-13T110005Z.335.image_lev1.fits,2010-07-13T110002Z/hmi.m_720s.20100713_110000_TAI.1.magnetogram.fits
2010-07-13T12:00:00Z,2010-07-13T12:00:02Z,2010-07-13T120002Z/aia.lev1_euv_12s.2010-07-13T120010Z.94.image_lev1.fits,2010-07-13T120002Z/aia.lev1_euv_12s.2010-07-13T120011Z.131.image_lev1.fits,2010-07-13T120002Z/aia.lev1_euv_12s.2010-07-13T120013Z.171.image_lev1.fits,2010-07-13T120002Z/aia.lev1_euv_12s.2010-07-13T120008Z.193.image_lev1.fits,2010-07-13T120002Z/aia.lev1_euv_12s.2010-07-13T120002Z.211.image_lev1.fits,2010-07-13T120002Z/aia.lev1_euv_12s.2010-07-13T120004Z.304.image_lev1.fits,2010-07-13T120002Z/aia.lev1_euv_12s.2010-07-13T120005Z.335.image_lev1.fits,2010-07-13T120002Z/hmi.m_720s.20100713_120000_TAI.1.magnetogram.fits
2010-07-13T13:00:00Z,2010-07-13T13:00:02Z,2010-07-13T130002Z/aia.lev1_euv_12s.2010-07-13T130010Z.94.image_lev1.fits,2010-07-13T130002Z/aia.lev1_euv_12s.2010-07-13T130011Z.131.image_lev1.fits,2010-07-13T130002Z/aia.lev1_euv_12s.2010-07-13T130013Z.171.image_lev1.fits,2010-07-13T130002Z/aia.lev1_euv_12s.2010-07-13T130008Z.193.image_lev1.fits,2010-07-13T130002Z/aia.lev1_euv_12s.2010-07-13T130002Z.211.image_lev1.fits,2010-07-13T130002Z/aia.lev1_euv_12s.2010-07-13T130004Z.304.image_lev1.fits,2010-07-13T130002Z/aia.lev1_euv_12s.2010-07-13T130005Z.335.image_lev1.fits,2010-07-13T130002Z/hmi.m_720s.20100713_130000_TAI.1.magnetogram.fits
2010-07-13T14:00:00Z,2010-07-13T14:00:02Z,2010-07-13T140002Z/aia.lev1_euv_12s.2010-07-13T140010Z.94.image_lev1.fits,2010-07-13T140002Z/aia.lev1_euv_12s.2010-07-13T140011Z.131.image_lev1.fits,2010-07-13T140002Z/aia.lev1_euv_12s.2010-07-13T140013Z.171.image_lev1.fits,2010-07-13T140002Z/aia.lev1_euv_12s.2010-07-13T140008Z.193.image_lev1.fits,2010-07-13T140002Z/aia.lev1_euv_12s.2010-07-13T140002Z.211.image_lev1.fits,2010-07-13T140002Z/aia.lev1_euv_12s.2010-07-13T140004Z.304.image_lev1.fits,2010-07-13T140002Z/aia.lev1_euv_12s.2010-07-13T140005Z.335.image_lev1.fits,2010-07-13T140002Z/hmi.m_720s.20100713_140000_TAI.1.magnetogram.fits
2010-07-13T15:00:00Z,2010-07-13T15:00:02Z,2010-07-13T150002Z/aia.lev1_euv_12s.2010-07-13T150010Z.94.image_lev1.fits,2010-07-13T150002Z/aia.lev1_euv_12s.2010-07-13T150011Z.131.image_lev1.fits,2010-07-13T150002Z/aia.lev1_euv_12s.2010-07-13T150013Z.171.image_lev1.fits,2010-07-13T150002Z/aia.lev1_euv_12s.2010-07-13T150008Z.193.image_lev1.fits,2010-07-13T150002Z/aia.lev1_euv_12s.2010-07-13T150002Z.211.image_lev1.fits,2010-07-13T150002Z/aia.lev1_euv_12s.2010-07-13T150004Z.304.image_lev1.fits,2010-07-13T150002Z/aia.lev1_euv_12s.2010-07-13T150005Z.335.image_lev1.fits,2010-07-13T150002Z/hmi.m_720s.20100713_150000_TAI.1.magnetogram.fits
2010-07-13T16:00:00Z,2010-07-13T16:00:02Z,2010-07-13T160002Z/aia.lev1_euv_12s.2010-07-13T160010Z.94.image_lev1.fits,2010-07-13T160002Z/aia.lev1_euv_12s.2010-07-13T160011Z.131.image_lev1.fits,2010-07-13T160002Z/aia.lev1_euv_12s.2010-07-13T160013Z.171.image_lev1.fits,2010-07-13T160002Z/aia.lev1_euv_12s.2010-07-13T160008Z.193.image_lev1.fits,2010-07-13T160002Z/aia.lev1_euv_12s.2010-07-13T160002Z.211.image_lev1.fits,2010-07-13T160002Z/aia.lev1_euv_12s.2010-07-13T160004Z.304.image_lev1.fits,2010-07-13T160002Z/aia.lev1_euv_12s.2010-07-13T160005Z.335.image_lev1.fits,2010-07-13T160002Z/hmi.m_720s.20100713_160000_TAI.1.magnetogram.fits
2010-07-13T17:00:00Z,2010-07-13T17:00:02Z,2010-07-13T170002Z/aia.lev1_euv_12s.2010-07-13T170010Z.94.image_lev1.fits,2010-07-13T170002Z/aia.lev1_euv_12s.2010-07-13T170011Z.131.image_lev1.fits,2010-07-13T170002Z/aia.lev1_euv_12s.2010-07-13T170013Z.171.image_lev1.fits,2010-07-13T170002Z/aia.lev1_euv_12s.2010-07-13T170008Z.193.image_lev1.fits,2010-07-13T170002Z/aia.lev1_euv_12s.2010-07-13T170002Z.211.image_lev1.fits,2010-07-13T170002Z/aia.lev1_euv_12s.2010-07-13T170004Z.304.image_lev1.fits,2010-07-13T170002Z/aia.lev1_euv_12s.2010-07-13T170005Z.335.image_lev1.fits,2010-07-13T170002Z/hmi.m_720s.20100713_170000_TAI.1.magnetogram.fits
2010-07-13T18:00:00Z,2010-07-13T18:00:02Z,2010-07-13T180002Z/aia.lev1_euv_12s.2010-07-13T180010Z.94.image_lev1.fits,2010-07-13T180002Z/aia.lev1_euv_12s.2010-07-13T180011Z.131.image_lev1.fits,2010-07-13T180002Z/aia.lev1_euv_12s.2010-07-13T180013Z.171.image_lev1.fits,2010-07-13T180002Z/aia.lev1_euv_12s.2010-07-13T180008Z.193.image_lev1.fits,2010-07-13T180002Z/aia.lev1_euv_12s.2010-07-13T180002Z.211.image_lev1.fits,2010-07-13T180002Z/aia.lev1_euv_12s.2010-07-13T180004Z.304.image_lev1.fits,2010-07-13T180002Z/aia.lev1_euv_12s.2010-07-13T180005Z.335.image_lev1.fits,2010-07-13T180002Z/hmi.m_720s.20100713_180000_TAI.1.magnetogram.fits
