T_intended,T_REC,94,131,171,193,211,304,335,Magnetogram
2010-08-09T14:00:00Z,2010-08-09T14:00:02Z,2010-08-09T140002Z/aia.lev1_euv_12s.2010-08-09T140004Z.94.image_lev1.fits,2010-08-09T140002Z/aia.lev1_euv_12s.2010-08-09T140011Z.131.image_lev1.fits,2010-08-09T140002Z/aia.lev1_euv_12s.2010-08-09T140013Z.171.image_lev1.fits,2010-08-09T140002Z/aia.lev1_euv_12s.2010-08-09T140009Z.193.image_lev1.fits,2010-08-09T140002Z/aia.lev1_euv_12s.2010-08-09T140002Z.211.image_lev1.fits,2010-08-09T140002Z/aia.lev1_euv_12s.2010-08-09T140010Z.304.image_lev1.fits,2010-08-09T140002Z/aia.lev1_euv_12s.2010-08-09T140005Z.335.image_lev1.fits,2010-08-09T140002Z/hmi.m_720s.20100809_140000_TAI.1.magnetogram.fits
2010-08-09T15:00:00Z,2010-08-09T15:00:02Z,2010-08-09T150002Z/aia.lev1_euv_12s.2010-08-09T150004Z.94.image_lev1.fits,2010-08-09T150002Z/aia.lev1_euv_12s.2010-08-09T150011Z.131.image_lev1.fits,2010-08-09T150002Z/aia.lev1_euv_12s.2010-08-09T150013Z.171.image_lev1.fits,2010-08-09T150002Z/aia.lev1_euv_12s.2010-08-09T150009Z.193.image_lev1.fits,2010-08-09T150002Z/aia.lev1_euv_12s.2010-08-09T150002Z.211.image_lev1.fits,2010-08-09T150002Z/aia.lev1_euv_12s.2010-08-09T150010Z.304.image_lev1.fits,2010-08-09T150002Z/aia.lev1_euv_12s.2010-08-09T150005Z.335.image_lev1.fits,2010-08-09T150002Z/hmi.m_720s.20100809_150000_TAI.1.magnetogram.fits
2010-08-09T16:00:00Z,2010-08-09T16:00:02Z,2010-08-09T160002Z/aia.lev1_euv_12s.2010-08-09T160004Z.94.image_lev1.fits,2010-08-09T160002Z/aia.lev1_euv_12s.2010-08-09T160011Z.131.image_lev1.fits,2010-08-09T160002Z/aia.lev1_euv_12s.2010-08-09T160013Z.171.image_lev1.fits,2010-08-09T160002Z/aia.lev1_euv_12s.2010-08-09T160009Z.193.image_lev1.fits,2010-08-09T160002Z/aia.lev1_euv_12s.2010-08-09T160002Z.211.image_lev1.fits,2010-08-09T160002Z/aia.lev1_euv_12s.2010-08-09T160010Z.304.image_lev1.fits,2010-08-09T160002Z/aia.lev1_euv_12s.2010-08-09T160005Z.335.image_lev1.fits,2010-08-09T160002Z/hmi.m_720s.20100809_160000_TAI.1.magnetogram.fits
2010-08-09T17:00:00Z,2010-08-09T17:00:02Z,2010-08-09T170002Z/aia.lev1_euv_12s.2010-08-09T170004Z.94.image_lev1.fits,2010-08-09T170002Z/aia.lev1_euv_12s.2010-08-09T170011Z.131.image_lev1.fits,2010-08-09T170002Z/aia.lev1_euv_12s.2010-08-09T170013Z.171.image_lev1.fits,2010-08-09T170002Z/aia.lev1_euv_12s.2010-08-09T170009Z.193.image_lev1.fits,2010-08-09T170002Z/aia.lev1_euv_12s.2010-08-09T170002Z.211.image_lev1.fits,2010-08-09T170002Z/aia.lev1_euv_12s.2010-08-09T170010Z.304.image_lev1.fits,2010-08-09T170002Z/aia.lev1_euv_12s.2010-08-09T170005Z.335.image_lev1.fits,2010-08-09T170002Z/hmi.m_720s.20100809_170000_TAI.1.magnetogram.fits
2010-08-09T18:00:00Z,2010-08-09T18:00:02Z,2010-08-09T180002Z/aia.lev1_euv_12s.2010-08-09T180004Z.94.image_lev1.fits,2010-08-09T180002Z/aia.lev1_euv_12s.2010-08-09T180011Z.131.image_lev1.fits,2010-08-09T180002Z/aia.lev1_euv_12s.2010-08-09T180013Z.171.image_lev1.fits,2010-08-09T180002Z/aia.lev1_euv_12s.2010-08-09T180009Z.193.image_lev1.fits,2010-08-09T180002Z/aia.lev1_euv_12s.2010-08-09T180002Z.211.image_lev1.fits,2010-08-09T180002Z/aia.lev1_euv_12s.2010-08-09T180010Z.304.image_lev1.fits,2010-08-09T180002Z/aia.lev1_euv_12s.2010-08-09T180005Z.335.image_lev1.fits,2010-08-09T180002Z/hmi.m_720s.20100809_180000_TAI.1.magnetogram.fits
2010-08-09T19:00:00Z,2010-08-09T19:00:02Z,2010-08-09T190002Z/aia.lev1_euv_12s.2010-08-09T190004Z.94.image_lev1.fits,2010-08-09T190002Z/aia.lev1_euv_12s.2010-08-09T190011Z.131.image_lev1.fits,2010-08-09T190002Z/aia.lev1_euv_12s.2010-08-09T190013Z.171.image_lev1.fits,2010-08-09T190002Z/aia.lev1_euv_12s.2010-08-09T190009Z.193.image_lev1.fits,2010-08-09T190002Z/aia.lev1_euv_12s.2010-08-09T190002Z.211.image_lev1.fits,2010-08-09T190002Z/aia.lev1_euv_12s.2010-08-09T190010Z.304.image_lev1.fits,2010-08-09T190002Z/aia.lev1_euv_12s.2010-08-09T190005Z.335.image_lev1.fits,2010-08-09T190002Z/hmi.m_720s.20100809_190000_TAI.1.magnetogram.fits
2010-08-09T20:00:00Z,2010-08-09T20:00:02Z,2010-08-09T200002Z/aia.lev1_euv_12s.2010-08-09T200004Z.94.image_lev1.fits,2010-08-09T200002Z/aia.lev1_euv_12s.2010-08-09T200011Z.131.image_lev1.fits,2010-08-09T200002Z/aia.lev1_euv_12s.2010-08-09T200013Z.171.image_lev1.fits,2010-08-09T200002Z/aia.lev1_euv_12s.2010-08-09T200009Z.193.image_lev1.fits,2010-08-09T200002Z/aia.lev1_euv_12s.2010-08-09T200002Z.211.image_lev1.fits,2010-08-09T200002Z/aia.lev1_euv_12s.2010-08-09T200010Z.304.image_lev1.fits,2010-08-09T200002Z/aia.lev1_euv_12s.2010-08-09T200005Z.335.image_lev1.fits,2010-08-09T200002Z/hmi.m_720s.20100809_200000_TAI.1.magnetogram.fits
2010-08-09T22:00:00Z,2010-08-09T22:00:02Z,2010-08-09T220002Z/aia.lev1_euv_12s.2010-08-09T220004Z.94.image_lev1.fits,2010-08-09T220002Z/aia.lev1_euv_12s.2010-08-09T220011Z.131.image_lev1.fits,2010-08-09T220002Z/aia.lev1_euv_12s.2010-08-09T220013Z.171.image_lev1.fits,2010-08-09T220002Z/aia.lev1_euv_12s.2010-08-09T220009Z.193.image_lev1.fits,2010-08-09T220002Z/aia.lev1_euv_12s.2010-08-09T220002Z.211.image_lev1.fits,2010-08-09T220002Z/aia.lev1_euv_12s.2010-08-09T220010Z.304.image_lev1.fits,2010-08-09T220002Z/aia.lev1_euv_12s.2010-08-09T220005Z.335.image_lev1.fits,2010-08-09T220002Z/hmi.m_720s.20100809_220000_TAI.1.magnetogram.fits
2010-08-09T23:00:00Z,2010-08-09T23:00:02Z,2010-08-09T230002Z/aia.lev1_euv_12s.2010-08-09T230004Z.94.image_lev1.fits,2010-08-09T230002Z/aia.lev1_euv_12s.2010-08-09T230011Z.131.image_lev1.fits,2010-08-09T230002Z/aia.lev1_euv_12s.2010-08-09T230013Z.171.image_lev1.fits,2010-08-09T230002Z/aia.lev1_euv_12s.2010-08-09T230009Z.193.image_lev1.fits,2010-08-09T230002Z/aia.lev1_euv_12s.2010-08-09T230002Z.211.image_lev1.fits,2010-08-09T230002Z/aia.lev1_euv_12s.2010-08-09T230010Z.304.image_lev1.fits,2010-08-09T230002Z/aia.lev1_euv_12s.2010-08-09T230005Z.335.image_lev1.fits,2010-08-09T230002Z/hmi.m_720s.20100809_230000_TAI.1.magnetogram.fits
2010-08-10T00:00:00Z,2010-08-10T00:00:02Z,2010-08-10T000002Z/aia.lev1_euv_12s.2010-08-10T000004Z.94.image_lev1.fits,2010-08-10T000002Z/aia.lev1_euv_12s.2010-08-10T000011Z.131.image_lev1.fits,2010-08-10T000002Z/aia.lev1_euv_12s.2010-08-10T000013Z.171.image_lev1.fits,2010-08-10T000002Z/aia.lev1_euv_12s.2010-08-10T000009Z.193.image_lev1.fits,2010-08-10T000002Z/aia.lev1_euv_12s.2010-08-10T000002Z.211.image_lev1.fits,2010-08-10T000002Z/aia.lev1_euv_12s.2010-08-10T000010Z.304.image_lev1.fits,2010-08-10T000002Z/aia.lev1_euv_12s.2010-08-10T000005Z.335.image_lev1.fits,2010-08-10T000002Z/hmi.m_720s.20100810_000000_TAI.1.magnetogram.fits
